SeqID;Mock_reference;DA1_MOCK_A;DA1_MOCK_B;DA1_MOCK_C;DA2_MOCK_A;DA2_MOCK_B;DA2_MOCK_C;DA3_MOCK_A;DA3_MOCK_B;DA3_MOCK_C;DA4_MOCK_A;DA4_MOCK_B;DA4_MOCK_C;DA5_MOCK_A;DA5_MOCK_B;DA5_MOCK_C;DA6_MOCK_A;DA6_MOCK_B;DA6_MOCK_C;DA7_MOCK_A;DA7_MOCK_B;DA7_MOCK_C;DA8_MOCK_A;DA8_MOCK_B;DA8_MOCK_C;DA9_MOCK_A;DA9_MOCK_B;DA9_MOCK_C;DA10_MOCK_A;DA10_MOCK_B;DA10_MOCK_C;DA11_MOCK_A;DA11_MOCK_B;DA11_MOCK_C;DA12_MOCK_A;DA12_MOCK_B;DA12_MOCK_C;DA13_MOCK_A;DA13_MOCK_B;DA13_MOCK_C;DA14_MOCK_A;DA14_MOCK_B;DA14_MOCK_C;DA15_MOCK_A;DA15_MOCK_B;DA15_MOCK_C;DA16_MOCK_A;DA16_MOCK_B;DA16_MOCK_C;DA17_MOCK_A;DA17_MOCK_B;DA17_MOCK_C;DA18_MOCK_A;DA18_MOCK_B;DA18_MOCK_C;DA19_MOCK_A;DA19_MOCK_B;DA19_MOCK_C;DA20_MOCK_A;DA20_MOCK_B;DA20_MOCK_C;DA21_MOCK_A;DA21_MOCK_B;DA21_MOCK_C;DA22_MOCK_A;DA22_MOCK_B;DA22_MOCK_C;DA23_MOCK_A;DA23_MOCK_B;DA23_MOCK_C;DA24_MOCK_A;DA24_MOCK_B;DA24_MOCK_C;DA25_MOCK_A;DA25_MOCK_B;DA25_MOCK_C;DA26_MOCK_A;DA26_MOCK_B;DA26_MOCK_C;DA27_MOCK_A;DA27_MOCK_B;DA27_MOCK_C;DA28_MOCK_A;DA28_MOCK_B;DA28_MOCK_C;DA29_MOCK_A;DA29_MOCK_B;DA29_MOCK_C;DA30_MOCK_A;DA30_MOCK_B;DA30_MOCK_C;DA31_MOCK_A;DA31_MOCK_B;DA31_MOCK_C;DA32_MOCK_A;DA32_MOCK_B;DA32_MOCK_C;DA33_MOCK_A;DA33_MOCK_B;DA33_MOCK_C;DA34_MOCK_A;DA34_MOCK_B;DA34_MOCK_C;DA35_MOCK_A;DA35_MOCK_B;DA35_MOCK_C;DA36_MOCK_A;DA36_MOCK_B;DA36_MOCK_C;DA37_MOCK_A;DA37_MOCK_B;DA37_MOCK_C;DA38_MOCK_A;DA38_MOCK_B;DA38_MOCK_C;DA39_MOCK_A;DA39_MOCK_B;DA39_MOCK_C;DA40_MOCK_A;DA40_MOCK_B;DA40_MOCK_C;DA41_MOCK_A;DA41_MOCK_B;DA41_MOCK_C;DA42_MOCK_A;DA42_MOCK_B;DA42_MOCK_C;DA43_MOCK_A;DA43_MOCK_B;DA43_MOCK_C;DA44_MOCK_A;DA44_MOCK_B;DA44_MOCK_C;DA45_MOCK_A;DA45_MOCK_B;DA45_MOCK_C;DA46_MOCK_A;DA46_MOCK_B;DA46_MOCK_C;DA47_MOCK_A;DA47_MOCK_B;DA47_MOCK_C;DA48_MOCK_A;DA48_MOCK_B;DA48_MOCK_C;VU1_MOCK_A;VU1_MOCK_B;VU1_MOCK_C;VU2_MOCK_A;VU2_MOCK_B;VU2_MOCK_C;VU3_MOCK_A;VU3_MOCK_B;VU3_MOCK_C;VU4_MOCK_A;VU4_MOCK_B;VU4_MOCK_C;VU5_MOCK_A;VU5_MOCK_B;VU5_MOCK_C;VU6_MOCK_A;VU6_MOCK_B;VU6_MOCK_C;VU7_MOCK_A;VU7_MOCK_B;VU7_MOCK_C;VU8_MOCK_A;VU8_MOCK_B;VU8_MOCK_C;VU9_MOCK_A;VU9_MOCK_B;VU9_MOCK_C;VU10_MOCK_A;VU10_MOCK_B;VU10_MOCK_C;VU11_MOCK_A;VU11_MOCK_B;VU11_MOCK_C;VU12_MOCK_A;VU12_MOCK_B;VU12_MOCK_C;VU13_MOCK_A;VU13_MOCK_B;VU13_MOCK_C;VU14_MOCK_A;VU14_MOCK_B;VU14_MOCK_C;VU15_MOCK_A;VU15_MOCK_B;VU15_MOCK_C;VU16_MOCK_A;VU16_MOCK_B;VU16_MOCK_C;VU17_MOCK_A;VU17_MOCK_B;VU17_MOCK_C;VU18_MOCK_A;VU18_MOCK_B;VU18_MOCK_C;VU19_MOCK_A;VU19_MOCK_B;VU19_MOCK_C;VU20_MOCK_A;VU20_MOCK_B;VU20_MOCK_C;VU21_MOCK_A;VU21_MOCK_B;VU21_MOCK_C;VU22_MOCK_A;VU22_MOCK_B;VU22_MOCK_C;VU23_MOCK_A;VU23_MOCK_B;VU23_MOCK_C;VU24_MOCK_A;VU24_MOCK_B;VU24_MOCK_C;VU25_MOCK_A;VU25_MOCK_B;VU25_MOCK_C;VU26_MOCK_A;VU26_MOCK_B;VU26_MOCK_C;VU27_MOCK_A;VU27_MOCK_B;VU27_MOCK_C;VU28_MOCK_A;VU28_MOCK_B;VU28_MOCK_C;VU29_MOCK_A;VU29_MOCK_B;VU29_MOCK_C;VU30_MOCK_A;VU30_MOCK_B;VU30_MOCK_C;VU31_MOCK_A;VU31_MOCK_B;VU31_MOCK_C;VU32_MOCK_A;VU32_MOCK_B;VU32_MOCK_C;DE1_MOCK_C;DE1_MOCK_A;DE1_MOCK_B;DE2_MOCK_C;DE2_MOCK_A;DE2_MOCK_B;DE3_MOCK_C;DE3_MOCK_A;DE3_MOCK_B;DE4_MOCK_C;DE4_MOCK_A;DE4_MOCK_B;DE5_MOCK_C;DE5_MOCK_A;DE5_MOCK_B;DE6_MOCK_C;DE6_MOCK_A;DE6_MOCK_B;DE7_MOCK_C;DE7_MOCK_A;DE7_MOCK_B;DE8_MOCK_C;DE8_MOCK_A;DE8_MOCK_B;DE9_MOCK_C;DE9_MOCK_A;DE9_MOCK_B;DE10_MOCK_C;DE10_MOCK_A;DE10_MOCK_B;DE11_MOCK_C;DE11_MOCK_A;DE11_MOCK_B;DE12_MOCK_C;DE12_MOCK_A;DE12_MOCK_B;DE13_MOCK_C;DE13_MOCK_A;DE13_MOCK_B;DE14_MOCK_C;DE14_MOCK_A;DE14_MOCK_B;DE15_MOCK_C;DE15_MOCK_A;DE15_MOCK_B;DE16_MOCK_C;DE16_MOCK_A;DE16_MOCK_B;DE17_MOCK_C;DE17_MOCK_A;DE17_MOCK_B;DE18_MOCK_C;DE18_MOCK_A;DE18_MOCK_B;DE19_MOCK_C;DE19_MOCK_A;DE19_MOCK_B;DE20_MOCK_C;DE20_MOCK_A;DE20_MOCK_B;DE21_MOCK_C;DE21_MOCK_A;DE21_MOCK_B;DE22_MOCK_C;DE22_MOCK_A;DE22_MOCK_B;DE23_MOCK_C;DE23_MOCK_A;DE23_MOCK_B;DE24_MOCK_C;DE24_MOCK_A;DE24_MOCK_B;DE25_MOCK_C;DE25_MOCK_A;DE25_MOCK_B;DE26_MOCK_C;DE26_MOCK_A;DE26_MOCK_B;DE27_MOCK_C;DE27_MOCK_A;DE27_MOCK_B;DE28_MOCK_C;DE28_MOCK_A;DE28_MOCK_B;DE29_MOCK_C;DE29_MOCK_A;DE29_MOCK_B;DE30_MOCK_C;DE30_MOCK_A;DE30_MOCK_B;DE31_MOCK_C;DE31_MOCK_A;DE31_MOCK_B;DE32_MOCK_C;DE32_MOCK_A;DE32_MOCK_B
Candidatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Enterococcus;0.099;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;3293;2368;2771;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;4134;3015;3517;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;3780;2740;3223;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;4346;3194;3740;2624;1849;2184;2624;1849;2184;2624;1849;2184;2624;1849;2184;3032;2156;2526;2624;1849;2184;3032;2156;2526;3032;2156;2526;3204;2320;2725;3204;2320;2725;3204;2320;2725;3204;2320;2725;3916;2839;3342;3204;2320;2725;3916;2839;3359;3916;2839;3342;9;0;0;2595;1762;2146;1859;1328;1618;2595;1762;2146;9;0;0;2595;1762;2146;1868;1328;1618;2595;1762;2146;467;281;420;3160;2068;2717;2859;2071;2457;3170;2068;2727;800;522;700;4236;3102;3865;2563;1876;2217;4236;3102;3865;9;0;0;2536;1730;2100;1829;1314;1591;9;0;0;9;0;0;2595;1762;2146;1868;1328;1618;2595;1762;2146;1012;628;880;3657;2375;3136;2804;2044;2421;1012;628;880;1025;660;972;4369;3192;4075;2501;1852;2181;1025;660;972;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;2384;2794;2034;2384;2794;2034;2384;2794;2034;2384;2794;2034;2186;2541;1854;2186;2541;1854;2186;2541;1854;2186;2541;1854;1591;1829;1314;1591;1829;1314;1591;1829;1314;1591;1829;1314;1610;1859;1328;1610;1859;1328;1610;1859;1328;1610;1859;1328;2355;2740;2007;2355;2740;2007;2355;2740;2007;2355;2740;2007;2155;2480;1830;2155;2480;1830;2155;2480;1830;2155;2480;1830
Erysipelatoclostridium;NA;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;2;3;0;2;3;0;2;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;4;3;0;4;3;0;4;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;0;3;0;0;3;0;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Escherichia-Shigella;0.101;3578;2416;2915;3578;2416;2915;3578;2416;2915;3578;2416;2915;3578;2416;2915;3578;2416;2915;3578;2416;2915;3578;2416;2915;4071;2698;3313;4699;3177;3872;4699;3177;3872;4699;3177;3872;4699;3177;3872;4699;3177;3872;4699;3177;3872;4699;3177;3872;4261;2877;3480;4261;2877;3480;4261;2877;3480;4261;2877;3480;4261;2877;3480;4261;2877;3480;4261;2877;3480;4261;2877;3480;5009;3381;4128;5009;3381;4128;5009;3381;4128;5009;3381;4128;4338;2874;3524;5009;3381;4128;5009;3381;4128;5009;3381;4128;3256;2181;2627;3256;2181;2627;3256;2181;2627;3256;2181;2627;3256;2181;2627;3256;2181;2627;3256;2181;2627;3256;2181;2627;3911;2581;3153;4514;3038;3688;4514;3038;3688;4514;3038;3688;4514;3038;3688;4514;3038;3688;4514;3038;3688;4514;3038;3688;2991;2173;2724;2991;2173;2724;2338;1510;1848;2991;2173;2724;2991;2173;2724;2991;2173;2724;2338;1510;1848;2991;2173;2724;3750;2871;3503;3750;2871;3503;3286;2112;2599;3750;2871;3503;3542;2487;2971;3542;2487;2971;2969;1926;2362;3542;2487;2971;2929;2128;2680;2929;2128;2680;2291;1481;1809;2929;2128;2680;2991;2173;2724;2991;2173;2724;2338;1510;1848;2991;2173;2724;3668;2820;3443;3668;2820;3443;3209;2065;2538;3668;2820;3443;3465;2442;2903;3465;2442;2903;2900;1881;2309;3465;2442;2903;1590;2025;1291;1590;2025;1291;1590;2025;1291;1590;2025;1291;1590;2025;1291;1590;2025;1291;1590;2025;1291;1590;2025;1291;2227;2823;1783;2227;2823;1783;2227;2823;1783;2227;2823;1783;2022;2570;1640;2022;2570;1640;2022;2570;1640;2022;2570;1640;1554;1984;1265;1554;1984;1265;1554;1984;1265;1554;1984;1265;1590;2025;1291;1590;2025;1291;1590;2025;1291;1590;2025;1291;2171;2762;1742;2171;2762;1742;2171;2762;1742;2171;2762;1742;1973;2510;1600;1973;2510;1600;1973;2510;1600;1973;2510;1600
"f__Bacillaceae;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5115;3795;4324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2033;1302;1590;2033;1302;1590;NA;NA;NA;2033;1302;1590;5812;4031;4773;2033;1302;1590;NA;NA;NA;2033;1302;1590;1257;797;1123;1848;1162;1618;NA;NA;NA;1257;797;1123;2432;1625;2070;3073;2066;2708;NA;NA;NA;2432;1625;2070;1992;1276;1554;1992;1276;1554;NA;NA;NA;1992;1276;1554;2033;1302;1590;2033;1302;1590;NA;NA;NA;2033;1302;1590;1256;789;1121;1246;789;1111;NA;NA;NA;1246;789;1111;2368;1562;2027;2368;1562;2027;NA;NA;NA;2368;1562;2027;2812;3327;2471;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"f__Enterobacteriaceae;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2888;1917;2508;NA;NA;NA;NA;NA;NA;NA;NA;NA;2888;1917;2508;NA;NA;NA;NA;NA;NA;NA;NA;NA;3774;2555;3292;NA;NA;NA;NA;NA;NA;NA;NA;NA;3774;2555;3292;NA;NA;NA;NA;NA;NA;NA;NA;NA;3416;2293;2994;NA;NA;NA;NA;NA;NA;NA;NA;NA;3416;2293;2994;NA;NA;NA;NA;NA;NA;NA;NA;NA;4030;2749;3533;671;507;604;NA;NA;NA;NA;NA;NA;4030;2749;3533;NA;NA;NA;NA;NA;NA;NA;NA;NA;2607;1742;2272;NA;NA;NA;NA;NA;NA;NA;NA;NA;2607;1742;2272;NA;NA;NA;NA;NA;NA;NA;NA;NA;3640;2437;3174;NA;NA;NA;NA;NA;NA;NA;NA;NA;3640;2437;3174;NA;NA;NA;NA;NA;NA;NA;NA;NA;305;208;258;NA;NA;NA;NA;NA;NA;NA;NA;NA;305;208;258;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;299;205;255;NA;NA;NA;NA;NA;NA;NA;NA;NA;305;208;258;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;1592;1864;1255;NA;NA;NA;NA;NA;NA;NA;NA;NA;1592;1864;1255;NA;NA;NA;NA;NA;NA;NA;NA;NA;2267;2643;1785;NA;NA;NA;NA;NA;NA;NA;NA;NA;2050;2397;1624;NA;NA;NA;NA;NA;NA;NA;NA;NA;1565;1837;1219;NA;NA;NA;NA;NA;NA;NA;NA;NA;1592;1864;1255;NA;NA;NA;NA;NA;NA;NA;NA;NA;2223;2591;1731;NA;NA;NA;NA;NA;NA;NA;NA;NA;2011;2346;1562
"f__Lactobacillaceae;g__unassigned";NA;NA;NA;NA;NA;NA;NA;4532;3330;4171;NA;NA;NA;NA;NA;NA;NA;NA;NA;4532;3330;4171;NA;NA;NA;NA;NA;NA;NA;NA;NA;5336;4071;4960;NA;NA;NA;NA;NA;NA;NA;NA;NA;5336;4071;4960;NA;NA;NA;NA;NA;NA;NA;NA;NA;5053;3799;4695;NA;NA;NA;NA;NA;NA;NA;NA;NA;5053;3799;4695;NA;NA;NA;NA;NA;NA;NA;NA;NA;5580;4286;5182;NA;NA;NA;NA;NA;NA;NA;NA;NA;5580;4286;5182;NA;NA;NA;NA;NA;NA;NA;NA;NA;4215;3099;3877;NA;NA;NA;NA;NA;NA;NA;NA;NA;4215;3099;3877;NA;NA;NA;NA;NA;NA;NA;NA;NA;4658;3900;4768;NA;NA;NA;0;7;0;NA;NA;NA;5141;3900;4768;NA;NA;NA;NA;NA;NA;NA;NA;NA;2668;1997;2446;NA;NA;NA;NA;NA;NA;NA;NA;NA;2668;1997;2446;NA;NA;NA;12;0;0;2871;2071;2431;3770;2871;3494;12;0;0;2590;1652;2022;2590;1652;2022;3455;2580;3165;11;0;0;NA;NA;NA;NA;NA;NA;2610;1958;2406;NA;NA;NA;NA;NA;NA;NA;NA;NA;2668;1997;2446;NA;NA;NA;12;0;0;12;0;0;3676;2820;3434;12;0;0;381;269;336;381;269;336;3352;2532;3103;381;269;336;NA;NA;NA;NA;NA;NA;2438;2660;1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;2438;2660;1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;3433;3687;2821;NA;NA;NA;NA;NA;NA;NA;NA;NA;3141;3398;2570;NA;NA;NA;NA;NA;NA;NA;NA;NA;2398;2602;1958;NA;NA;NA;NA;NA;NA;NA;NA;NA;2438;2660;1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;3374;3599;2764;NA;NA;NA;NA;NA;NA;NA;NA;NA;3087;3306;2522;NA;NA;NA
"f__Lachnospiraceae;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"f__Staphylococcaceae;g__unassigned";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2804;2044;2395;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
